coluna,correlacao_resultado_direcional,correlacao_absoluta
diff_rank,-0.3431,0.3431
diff_fifa_points,0.3189,0.3189
diff_last10_points_per_game,0.3094,0.3094
diff_last5_points_per_game,0.3078,0.3078
diff_cycle_points_per_game,0.2869,0.2869
team_a_rank,-0.2782,0.2782
team_a_last10_points_per_game,0.256,0.256
team_a_last5_points_per_game,0.2512,0.2512
diff_cycle_goals_for_per_game,0.2449,0.2449
team_a_cycle_points_per_game,0.2429,0.2429
team_b_rank,0.2283,0.2283
team_a_cycle_goals_for_per_game,0.2174,0.2174
diff_cycle_goals_against_per_game,-0.192,0.192
team_b_last10_points_per_game,-0.1748,0.1748
team_a_cycle_goals_against_per_game,-0.1713,0.1713
team_b_last5_points_per_game,-0.1665,0.1665
team_b_cycle_points_per_game,-0.1561,0.1561
team_b_fifa_points,-0.1298,0.1298
team_b_cycle_goals_for_per_game,-0.1271,0.1271
diff_last10_opponent_points_mean,0.1236,0.1236
team_a_official_points_per_game,0.1207,0.1207
team_a_cycle_games,-0.1118,0.1118
team_b_cycle_goals_against_per_game,0.0907,0.0907
team_b_official_points_per_game,-0.0852,0.0852
team_a_days_since_last_match,0.0575,0.0575
neutral,-0.0535,0.0535
team_a_is_host,0.0535,0.0535
team_a_fifa_points,0.0511,0.0511
team_b_last10_opponent_points_mean,-0.0509,0.0509
team_b_cycle_games,0.0318,0.0318
team_b_days_since_last_match,-0.0299,0.0299
team_a_last10_opponent_points_mean,-0.0152,0.0152
