coluna,quantidade,media,desvio_padrao,minimo,mediana,maximo
world_cup_year,448,2010.0,8.0,1998.0,2010.0,2022.0
ranking_year,448,2009.1429,8.2189,1997.0,2009.0,2022.0
ranking_semester,448,1.8571,0.3499,1.0,2.0,2.0
neutral,448,0.904,0.2946,0.0,1.0,1.0
team_a_is_host,448,0.096,0.2946,0.0,0.0,1.0
team_a_rank,448,19.6562,17.7553,1.0,14.0,86.0
team_a_fifa_points,448,869.5694,479.0514,39.0,793.0,1837.56
team_a_days_since_last_match,448,9.596,12.1516,1.0,6.0,99.0
team_a_cycle_games,448,48.9196,9.3263,23.0,49.0,83.0
team_a_cycle_points_per_game,448,1.8874,0.2835,1.2174,1.9091,2.6296
team_a_cycle_goals_for_per_game,448,1.7988,0.3849,1.0185,1.7674,2.8056
team_a_cycle_goals_against_per_game,448,0.8886,0.2269,0.38,0.8837,1.7391
team_a_official_points_per_game,448,1.9812,0.3034,1.1481,1.9884,2.8
team_a_last5_points_per_game,448,1.7853,0.7268,0.2,1.8,3.0
team_a_last10_points_per_game,448,1.8529,0.5009,0.6,1.9,3.0
team_a_last10_opponent_points_mean,448,707.4786,398.3008,38.8571,646.0,1637.507
team_b_rank,448,22.067,16.4428,1.0,18.0,86.0
team_b_fifa_points,448,847.8316,464.0914,39.0,768.0,1837.56
team_b_days_since_last_match,448,9.9911,13.5046,1.0,6.0,99.0
team_b_cycle_games,448,48.346,9.933,23.0,48.0,83.0
team_b_cycle_points_per_game,448,1.8457,0.2658,1.2174,1.8658,2.6296
team_b_cycle_goals_for_per_game,448,1.7385,0.3823,1.0185,1.7031,2.8056
team_b_cycle_goals_against_per_game,448,0.9023,0.2183,0.38,0.9,1.7391
team_b_official_points_per_game,448,1.9716,0.2882,1.1481,1.9706,2.8
team_b_last5_points_per_game,448,1.6625,0.6785,0.2,1.6,3.0
team_b_last10_points_per_game,448,1.79,0.4884,0.6,1.8,3.0
team_b_last10_opponent_points_mean,448,696.7519,393.5199,35.3,643.55,1637.507
diff_rank,448,-2.4107,25.3408,-84.0,-4.0,78.0
diff_fifa_points,448,21.7378,265.6456,-1032.0,7.0,1192.0
diff_cycle_points_per_game,448,0.0418,0.3846,-1.3031,0.0357,1.1046
diff_cycle_goals_for_per_game,448,0.0603,0.54,-1.4305,0.0685,1.5823
diff_cycle_goals_against_per_game,448,-0.0137,0.3055,-0.8425,-0.017,0.9261
diff_last5_points_per_game,448,0.1228,0.9604,-2.4,0.2,2.6
diff_last10_points_per_game,448,0.0629,0.6906,-1.8,0.1,1.9
diff_last10_opponent_points_mean,448,10.7267,112.94,-412.2,4.95,388.2
score_a,448,1.404,1.3211,0.0,1.0,8.0
score_b,448,1.1317,1.0951,0.0,1.0,7.0
result,448,0.8862,0.865,0.0,1.0,2.0
