modelo,variavel,importancia
arvore_decisao,diff_rank,0.269826
arvore_decisao,team_b_cycle_goals_for_per_game,0.144631
arvore_decisao,team_a_last10_points_per_game,0.120949
arvore_decisao,diff_last10_opponent_points_mean,0.10168
arvore_decisao,diff_last5_points_per_game,0.096239
arvore_decisao,team_a_cycle_points_per_game,0.078044
arvore_decisao,team_a_cycle_games,0.069872
arvore_decisao,diff_fifa_points,0.069631
arvore_decisao,team_b_official_points_per_game,0.040116
arvore_decisao,team_a_official_points_per_game,0.009013
arvore_decisao,neutral,0.0
arvore_decisao,team_a_is_host,0.0
arvore_decisao,team_a_rank,0.0
arvore_decisao,team_a_fifa_points,0.0
arvore_decisao,team_a_days_since_last_match,0.0
arvore_decisao,team_a_cycle_goals_for_per_game,0.0
arvore_decisao,team_a_cycle_goals_against_per_game,0.0
arvore_decisao,team_a_last5_points_per_game,0.0
arvore_decisao,team_a_last10_opponent_points_mean,0.0
arvore_decisao,team_b_rank,0.0
arvore_decisao,team_b_fifa_points,0.0
arvore_decisao,team_b_days_since_last_match,0.0
arvore_decisao,team_b_cycle_games,0.0
arvore_decisao,team_b_cycle_points_per_game,0.0
arvore_decisao,team_b_cycle_goals_against_per_game,0.0
arvore_decisao,team_b_last5_points_per_game,0.0
arvore_decisao,team_b_last10_points_per_game,0.0
arvore_decisao,team_b_last10_opponent_points_mean,0.0
arvore_decisao,diff_cycle_points_per_game,0.0
arvore_decisao,diff_cycle_goals_for_per_game,0.0
arvore_decisao,diff_cycle_goals_against_per_game,0.0
arvore_decisao,diff_last10_points_per_game,0.0
random_forest,diff_last5_points_per_game,0.062289
random_forest,diff_rank,0.055907
random_forest,diff_cycle_goals_against_per_game,0.052214
random_forest,diff_cycle_points_per_game,0.046601
random_forest,team_a_last10_points_per_game,0.045172
random_forest,diff_fifa_points,0.04373
random_forest,team_a_cycle_games,0.041832
random_forest,team_b_official_points_per_game,0.039971
random_forest,team_a_cycle_points_per_game,0.039557
random_forest,diff_last10_opponent_points_mean,0.039322
random_forest,diff_last10_points_per_game,0.038187
random_forest,team_b_cycle_points_per_game,0.036737
random_forest,team_b_rank,0.035344
random_forest,team_b_cycle_goals_for_per_game,0.034592
random_forest,diff_cycle_goals_for_per_game,0.033054
random_forest,team_a_rank,0.033013
random_forest,team_b_last5_points_per_game,0.030793
random_forest,team_b_cycle_goals_against_per_game,0.029911
random_forest,team_b_fifa_points,0.028734
random_forest,team_a_last5_points_per_game,0.025177
random_forest,team_a_cycle_goals_against_per_game,0.024698
random_forest,team_a_cycle_goals_for_per_game,0.023409
random_forest,team_b_cycle_games,0.023326
random_forest,team_a_last10_opponent_points_mean,0.020128
random_forest,team_a_official_points_per_game,0.020049
random_forest,team_a_fifa_points,0.01958
random_forest,team_b_last10_opponent_points_mean,0.01923
random_forest,team_a_days_since_last_match,0.017977
random_forest,team_b_last10_points_per_game,0.016719
random_forest,team_b_days_since_last_match,0.016342
random_forest,team_a_is_host,0.00439
random_forest,neutral,0.002018
